LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
LB-144994,"SUYA JOINT, LLC",NULL,NONE,Approximately 2 500 square feet of retail space on the street level  The kitchen is located in the right rear portion of the premises directly behind the right entry vestibule and office space and adjacent to the rest rooms. There are two entry vestibules located in the far right and far left portio,09/18/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALN,CV7ALN - Neighborhood Restricted,NULL,2:00 AM,2:30 AM,84,"Suya Joint, LLC",(508)446-6776,185,,  Dudley ST,Roxbury,MA,2119,"(42.32832, -71.08196)"
LB-146400,NULL,NULL,NONE,Airport Business & First Class Premier Lounge. (Air France lounge at Logan Airport Terminal E),03/14/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALA,Clb. All Alc. Airport,NULL,2:00 AM,2:30 AM,206,Airist Boston Co Inc,(617)866-3561,500,,  Logan Airport Terminal E  ,East Boston,MA,2128,"(0.0, 0.0)"
LB-148028,NULL,NULL,(Special Legislation),Thompson Island  Boston Harbor  Boston  MA. The Waterfront Pavillion is an open-air seasonal wooden pavillion with multiple openings around the perimeter of the building leading to outdoor decks and surrounding grounds. Included in the surrounding grounds ara two temporary tent structures.,10/07/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,GOPAL,GOP All Alc.,NULL,2:00 AM,2:30 AM,263,Thompson Island Outward Bound Education Center Inc,(617)328-3900,0,,  Thompson Island  ,Boston,MA,2128,"(0.0, 0.0)"
LB-148518,"Boston Harbor Distillery, LLC",NULL,One room on first floor consisting of one entrance and three exits all located at 12R Ericsson Street  with Port Norfolk and Lawley Streets as crossroads. All alcohol storage is located behind the tasting area and/or displayed in the mercantile area. Monday - Wednesday Noon - 10:00 PM  Thursday - Saturday  Noon - 1:00 AM; Sunday Noon - 6:00 PM. CONDITIONS: 8 PM CLOSING HOUR FOR TOURS  TASTINGS. 11 PM CLOSING HOUR FOR PRIVATE EVENTS.,One room on first floor consisting of one entrance and three exits all located at 12R Ericsson Street  with Port Norfolk and Lawley Streets as crossroads. All alcohol storage is located behind the tasting area and/or displayed in the mercantile area. Monday - Wednesday Noon - 10:00 PM ,03/16/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Active,FDPL,Farmer Distillery Pouring License,NULL,1:00 AM,1:30 AM,0,"Boston Harbor Distillery, LLC",(617)533-7001,,,  Ericsson ST,Dorchester,MA,2122,"(42.292109, -71.041037)"
LB-98778,THE TENNIS AND RACQUET CLUB,NULL,NONE,In two rooms and kitchen on the first floor; one function room on the second floor; one function room on the third floor; two locker rooms and one lounge in basement.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,350,THE TENNIS AND RAQUET CLUB,NULL,927,939,  Boylston ST,Boston,MA,2115,"(42.34823, -71.08505)"
LB-98779,"ST. BOTOLPH CLUB, INC.",NULL,NONE,Rear emergency exits; in whole of said buiding.  CAPACITY BREAKDOWN: 1ST FL - 105; 2ND FL - 85; 3RD FL - 6; 4TH FL - 6.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,202,"ST. BOTOLPH CLUB, INC.",NULL,199,,  Commonwealth AV,Boston,MA,2116,"(42.351588, -71.08093)"
LB-98780,ALGONQUIN CLUB OF BOSTON,NULL,NONE,ONE REAR ENTRANCE  PRIVATE ALLEY IN REAR; IN WHOLE OF SAID BUILDING.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,461,ALGONQUIN CLUB OF BOSTON,NULL,217,,  Commonwealth AV,Boston,MA,2116,"(42.35139, -71.08185)"
LB-98781,HARVARD CLUB OF BOSTON,NULL,NONE,Four rear entrance on Newbury Street; in whole building with 700 capacity at Harvard Hall  351 capacity at assembly   93 capacity on 2nd floor dining  114 capacity at bartlett room  95 capacity at Grill room.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,1369,HARVARD CLUB OF BOSTON,(617)536-1260,374,380, Commonwealth Av,Boston,MA,2215,"(42.34859, -71.08904)"
LB-98782,TRUSTEES OF BOSTON UNIVERSITY,NULL,NONE,In whole of said building except basement.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,4612,TRUSTEES OF BOSTON UNIVERSITY,(617)353-2748,775,, Commonwealth Av,Boston,MA,2215,"(42.350873, -71.108963)"
LB-98784,HARVARD CLUB OF BOSTON,NULL,NONE,In whole of said premises at function hall club; except for small office space.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,324,HARVARD CLUB OF BOSTON,NULL,1,,  Federal ST,Boston,MA,2110,"(42.3561, -71.05695)"
LB-98786,SAVIN HILL YACHT CLUB,NULL,,In two rooms and kitchen on the first floor; first floor 98 persons  one function room on the second floor 171 persons. Total capacity of 269.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,269,SAVIN HILL YACHT CLUB,NULL,400,,  William T Morrissey BL,Dorchester,MA,2125,"(42.30928, -71.044382)"
LB-98787,"UNION CLUB OF BOSTON, INC.",NULL,NONE,Entrance on Park street at the front of bldg: 1st. Floor  2nd floor   3rd floor  4th floor  5th floor and 6th floor for stock room.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,349,"UNION CLUB OF BOSTON, INC.",NULL,7,8,  Park ST,Boston,MA,2108,"(42.357465, -71.062631)"
LB-98789,THE UNIVERSITY CLUB OF BOSTON,NULL,,One rear entrance; Private alley in rear; in whole of said building.CAPACITY BREAKDOWN: 72 DINGING ROOM - FIRST FLOOR  104 FUNCTION ROOM - FIRST FLOOR  49 POOL - L1 - BASEMENT & 200 LOCKER ROOM - SECOND FLOOR.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,267,THE UNIVERSITY CLUB OF BOSTON,NULL,426,,  Stuart ST,Boston,MA,2116,"(42.3485, -71.07476)"
LB-98790,NORTHEASTERN UNIVERSITY,NULL,,Exits in rear for stock and emergency  in seven rooms on first floor  seven rooms on second floor.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,82,NORTHEASTERN UNIVERSITY,NULL,96,,  Fenway ,Boston,MA,2115,"(42.34185, -71.09126)"
LB-98791,OLD COLONY YACHT CLUB,NULL,The Board granted permission to open on Sundays for brunch with the service of food and alcohol beginning at 10:00 AM.,In whole of said building except basement.  Capacity breakdown: 1st fl - 134  2nd fl - 220.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,354,OLD COLONY YACHT CLUB,NULL,235,,  Victory RD,Dorchester,MA,2122,"(42.2997, -71.0444)"
LB-98792,"TWENTY-FOUR EIGHTEEN CLUB, INC.",NULL,,Rear and side exits for emergency and stock; In one room on first floor; One room in basement for storage.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,215,"TWENTY-FOUR EIGHTEEN CLUB, INC.",NULL,18,24,  Washington ST,Boston,MA,2121,"(0.0, 0.0)"
LB-98794,KNIGHTS OF COLUMBUS BUILDING ASSO.OF ROSLINDALE,NULL,NONE,In whole of said building.  Capacity breakdown: 1st fl - 276; 2nd fl - 159.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,435,KNIGHTS OF COLUMBUS BUILDING ASSO.OF ROSLINDALE,NULL,4192,,  Washington ST,Roslindale,MA,2131,"(42.28727, -71.12699)"
LB-98795,SOUTH BOSTON LITHUANIAN CITIZENS ASSOCIATION,NULL,NONE,Rear door for stock; in whole of said building.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,565,SOUTH BOSTON LITHUANIAN CITIZENS ASSOCIATION,NULL,368,372,W Broadway ,South Boston,MA,2127,"(42.33793, -71.04892)"
LB-98796,BUNKER HILL KNIGHTS OF COLUMBUS BUILDING ASSOCIATION,NULL,NONE,FIRST FLOOR MAIN FUNCTION HALL WITH BATHROOMS  KITCHEN  SERVICE BAR  STORAGE AND MEMBERS BAR AREA WITH MAIN ENTRANCE IN FRONT ON MEDFORD STREET  AND SECOND ENTRANCE EXIT AT REAR OF BUILDING ADJACENT TO MEMBERS BAR AREA.  MEZZANINE LEVEL WITH OFFICES AND CONFERENCE ROOMS. CAPACITY BREAKDOWN: 376 TOTA,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,376,BUNKER HILL KNIGHTS OF COLUMBUS BUILDING ASSO.,NULL,545,,  Medford ST,Charlestown,MA,2129,"(42.38393, -71.07064)"
LB-98797,"TAVERN 103, LTD.",NULL,,In whole of said premises; except for small office space.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,824,"TAVERN 103, LTD.",NULL,256,,  Freeport ST,Dorchester,MA,2122,"(42.30355, -71.0528)"
LB-98799,TRUSTEES OF BOSTON UNIVERSITY,NULL,NONE,In whole of said of building.,12/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,280,TRUSTEES OF BOSTON UNIVERSITY,NULL,225,,  Bay State RD,Boston,MA,2215,"(42.350867, -71.103634)"
LB-98800,"ORIENT HEIGHTS YACHT CLUB, INC..",NULL,"Remove restriction #2 from license -#2 ""No further Physical additions""",IN ONE ROOM AND A STORAGE ROOM ON THE FIRST FLOOR; ONE ROOM AND A STORAGE ROOM ON THE SECOND FLOOR.  Capacity breakdown: 1st fl - 110; 2nd fl - 90.,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,200,ORIENT HEIGHTS YACHT CLUB,NULL,61,,  Bayswater ST,East Boston,MA,2128,"(42.38405, -71.00466)"
LB-98801,SOMERSET CLUB,NULL,NONE,Two entrances from private alleyway for receiving; In whole of said  building.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,275,SOMERSET CLUB,NULL,41,,  Beacon ST,Boston,MA,2108,"(42.3571, -71.06652)"
LB-98802,"EMERALD SOCIETY OF THE BPD, INC.",NULL,NONE,In one room on the first floor with storage in the basement.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,99,"EMERALD SOCIETY OF THE BPD, INC.",NULL,10,, Birch St,Roslindale,MA,2131,"(0.0, 0.0)"
LB-98804,"POLISH AMERICAN CITIZENS CLUB OF SOUTH BOSTON,INC.",NULL,,Bulkhead in rear for receiving in whole of said building. Maximum capacity 207 for the 1st floor and 246 for 2nd floor.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,453,"POLISH AMERICAN CITIZENS CLUB OF SOUTH BOSTON, INC",NULL,82,84,  Boston ST,Dorchester,MA,2125,"(42.32662, -71.0583)"
LB-98805,"THE TAVERN CLUB, INC.",NULL,,In whole of said building.  Capacity breakdown: 1st fl - 117; 2nd fl - 113; 3rd fl - 83.,12/02/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,313,"THE TAVERN CLUB, INC.",(617)338-9682,4,6,  Boylston PL,Boston,MA,2116,"(42.351901, -71.066169)"
LB-98806,NORTHEASTERN UNIVERSITY,NULL,NONE,ONE LARGE ROOM ON THE 6TH FLOOR WITH KITCHEN AND STORAGE IN THE BACK.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,286,NORTHEASTERN UNIVERSITY,NULL,716,,  Columbus AV,Roxbury,MA,2120,"(42.33771, -71.08514)"
LB-98807,"WOODBINE ASSOCIATES, INC.",NULL,Max. 4 nights per week / Sec. Guard outside all func.,Entrance on Park St at front of bldg; Two exits on side wall one exit in rear wall; One fl bldg; lst fl; Large function hall & lounge; Two rms  with kitchen ; Cellar for storage.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,60,"WOODBINE ASSOCIATES, INC.",NULL,57,,  Blue Hill AV,Roxbury,MA,2119,"(42.32329, -71.07665)"
LB-98808,"EAST BOSTON YACHT CLUB,INC.",NULL,,Rear entrance; in whole of said building.  Capacity breakdown: function hall - 100 seated; member area - 49.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,149,"EAST BOSTON YACHT CLUB,INC.",NULL,0,, Rice St,East Boston,MA,2128,"(42.380893, -71.011853)"
LB-98809,"PORT NORFOLK YACHT CLUB,INC.",NULL,PATIO CONDITIONS: A.) 10:30 LAST CALL  - ALL PATRONS OFF PATIO BY 11:00 P.M.  B.) MEMBERS AND GUESTS,179-181 WALNUT STREET  IN WHOLE OF SAID DINING ROOM  KITCHEN ON FIRST FLOOR AND IN WHOLE OF LOCATION ON 2ND FLOOR.  AND TO INCLUDE AN OUTDOOR PATIO ON PRIVATE PROPERTY FOR 25 PATRONS.120 SEATED @ FUNCTION HALL  2'ND FLOOR 27 SEATED.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,120,"PORT NORFOLK YACHT CLUB,INC.",NULL,179,181, Walnut St,Dorchester,MA,2122,"(42.291391, -71.039024)"
LB-98810,"M.W.G.W. CARVER GRAND LODGE,INC.",NULL,NONE,In whole of said building (two floors).,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,886,"M.W.G.W. CARVER GRAND LODGE,INC.",NULL,70,80,  Talbot AV,Dorchester,MA,2124,"(42.29396, -71.08371)"
LB-98811,CHILTON CLUB,NULL,NONE,In whole of said building.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,782,CHILTON CLUB,(617)266-4860,150,152, Commonwealth Av,Boston,MA,2116,"(42.351524, -71.077811)"
LB-98828,"IRISH SOCIAL CLUB, INC. OF BOSTON",NULL,License issued to this licensee only under special legislation  Chapter 282 of the Acts of 2012.,ENTRANCE ON PARK STREET AT FRONT OF BUILDING; TWO EXITS ON SIDE WALL  ONE EXIT ON REAR WALL  ONE FLOOR BUILDING; LARGE FUNCTION HALL AND LOUNGE; THREE ROOMS AND KITCHEN; CELLAR FOR STORAGE.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,659,"IRISH SOCIAL CLUB, INC. OF BOSTON",NULL,119,, Park St,West Roxbury,MA,2132,"(0.0, 0.0)"
LB-99604,"GOURMET CHINA, INC.",NULL,NONE,In one dining room on the first floor with kitchen and storage in the rear.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,2:00 AM,2:30 AM,48,"GOURMET CHINA, INC.",NULL,23,, Tyler St,Boston,MA,2111,"(42.350769, -71.060935)"
LB-98829,"S.BOSTON POST #6536 VETERANS-FOREIGN WARS/USA,INC.",NULL,No transfer of ownership  Ch 1161 Acts of l973 License originally issued l979,In whole of said building - first floor three rooms; basement for stock.  Capacity breakdown: 252 function hall  35 member area.  5 7 9 11 ELLERY STREET  SOUTH BOSTON  MA  02127,06/09/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,300,"S.BOSTON POST #6536 VETERANS-FOREIGN WARS/USA,INC.",NULL,5,,  Ellery ST,South Boston,MA,2127,"(42.33041, -71.0584)"
LB-98831,"JOHN P. MCKEON POST #146 AMVETS, INC.",NULL,No Restrictions on Transfer (1991),In whole of said building.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,705,"JOHN P. MCKEON POST #146 AMVETS, INC",NULL,4,,  Hill Top ST,Dorchester,MA,2124,"(42.28069, -71.04813)"
LB-98832,BPD POST #1018 VETERANS-FOREIGN WARS/USA,NULL,No transfer of ownership  Ch 1161  Acts of l973  License originally issued l976,IN WHOLE OF SAID BUILDING.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,NULL,2:00 AM,2:30 AM,181,BPD POST #1018 VETERANS-FOREIGN WARS/USA,NULL,500,,  Morton ST,Dorchester,MA,2124,"(0.0, 0.0)"
LB-98835,"MISSION HILL POST #327, AMERICAN LEGION, INC.",NULL,clbal0047 No Transfer of ownership  Ch 1161  Acts of l973  License originally issued 1975,Unnumbered side entrance on Wigglesworth Street; In whole of said building.  CAPACITY BREAKDOWN: MEMBERS' LOUNGE - 90; ASSEMBLY HALL - 126.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,NULL,2:00 AM,2:30 AM,216,"MISSION HILL POST #327, AMERICAN LEGION, INC.",NULL,1617,,  Tremont ST,Roxbury,MA,2120,"(42.33383, -71.10309)"
LB-98836,"BOSTON METROPOLITAN POST NO. 1 AMVETS, INC.",NULL,No Transfer of ownership  Ch 1161  Acts of l973  License originally issued 1985,BOSTON METROPOLITAN POST NO. 1 AMVETS  INC. - IN ONE ROOM FIRST FLOOR  ONE ROOM BASEMENT  STORAGE IN BASEMENT. CAPACITY BREAKDOWN: 1st FL - 70; BASEMENT - 29.,12/05/2013 12:00:00 AM,12/31/2015 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,99,"BOSTON METROPOLITAN POST NO. 1 AMVETS, INC.",NULL,119,,  Belgrade AV,Roslindale,MA,2131,"(42.28652, -71.13522)"
LB-98837,"ITALIAN AMERICAN WAR VETERANS, INC.",NULL,No Transfer of ownership  Ch 1161  Acts of l973  License originally  issued 1986,In whole of said building.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,50,ITALIAN AMERICAN WAR VETS,NULL,60,,  Paris ST,East Boston,MA,2128,"(42.37102, -71.039437)"
LB-98839,"BUILDING ASSOC. ST.MARKS POST #1758 V.F.W.,INC.",NULL,NONE,69 Bailey Street with 228 capacity at assembly  164 capacity at banquet room and 102 capacity in basement and rec. room.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,NULL,MIDNIGHT,12:30 AM,228,"BUILDING ASSOC. ST.MARKS POST #1758 V.F.W.,INC.",NULL,63,, Bailey St,Dorchester,MA,2124,"(42.284476, -71.065943)"
